Y1,Y2,Y3,Y4,Y5,Y6,X1,X3
24.44,24.15,24.08,24.31,24.44,23.85,0.0,0.0
24.47333333,24.16,24.09,24.31,24.45,23.74,0.0,2.671333333
25.29,24.16,24.09,24.33,24.44,23.9,2125.4616,3.016
25.81,24.19,24.12,24.44,24.45,23.88,3200.3235,2.440666667
26.18666667,24.23,24.13,24.54,24.44,23.92,3220.6946,2.435333333
26.52666667,24.29,24.15,24.66,24.45,23.86,3228.4768,2.426666667
26.86333333,24.35,24.18,24.77,24.45,23.82,3241.0657,2.429
27.19333333,24.42,24.21,24.89,24.46,23.95,3232.139,2.428666667
27.50666667,24.49,24.24,24.99,24.48,24.06,3238.0902,2.428666667
27.82,24.56,24.27,25.09,24.49,24.01,3252.5101,2.427666667
28.11,24.65,24.3,25.19,24.5,24.11,3214.7435,2.429333333
28.41666667,24.72,24.35,25.31,24.51,24.12,3230.5368,2.434
28.69666667,24.8,24.38,25.4,24.52,24.2,3232.3679,2.431333333
28.97333333,24.88,24.41,25.49,24.54,24.27,3221.3813,2.43
29.24333333,24.96,24.45,25.59,24.55,24.11,3233.9702,2.428666667
29.51333333,25.04,24.5,25.69,24.57,24.12,3227.5613,2.433
29.77,25.12,24.54,25.77,24.6,24.19,3229.3924,2.431666667
30.02666667,25.21,24.57,25.86,24.62,24.15,3225.0435,2.431666667
30.26333333,25.29,24.61,25.96,24.64,24.3,3236.7168,2.429
30.51333333,25.38,24.66,26.06,24.66,24.21,3229.6213,2.431
30.74333333,25.45,24.7,26.14,24.69,24.19,3231.2235,2.435
30.98333333,25.55,24.74,26.23,24.71,24.23,3238.0902,2.429333333
31.2,25.62,24.77,26.31,24.73,24.16,3207.6479,2.435333333
31.42666667,25.71,24.83,26.41,24.76,24.21,3230.7657,2.436666667
31.63,25.79,24.87,26.48,24.79,24.22,3235.3435,2.435666667
31.84666667,25.86,24.91,26.56,24.81,24.18,3242.439,2.433333333
32.05333333,25.95,24.95,26.66,24.84,24.17,3238.319,2.435333333
32.26,26.03,24.99,26.73,24.86,24.12,3227.5613,2.434333333
32.44333333,26.1,25.03,26.81,24.88,24.07,3231.9102,2.432666667
32.63666667,26.19,25.08,26.89,24.92,23.99,3236.4879,2.430666667
32.82,26.26,25.12,26.97,24.94,23.94,3247.7035,2.429333333
33.01,26.34,25.16,27.05,24.97,23.97,3230.7657,2.426333333
33.19333333,26.42,25.22,27.13,25.01,23.9,3237.6324,2.425666667
33.37333333,26.51,25.27,27.21,25.04,23.96,3236.4879,2.429333333
33.54333333,26.58,25.31,27.3,25.07,24.03,3216.8035,2.431
33.72,26.66,25.35,27.37,25.12,24.22,3232.8257,2.429666667
33.88333333,26.73,25.39,27.44,25.14,24.04,3226.4168,2.425
34.04666667,26.81,25.45,27.5,25.17,24.01,3228.7057,2.434333333
34.2,26.88,25.49,27.59,25.2,23.87,3236.259,2.431333333
34.36333333,26.95,25.54,27.65,25.23,23.85,3227.5613,2.426
34.51333333,27.03,25.57,27.73,25.26,24.12,3245.1857,2.431333333
34.65333333,27.09,25.6,27.79,25.29,24.22,3228.2479,2.43
34.81666667,27.18,25.66,27.87,25.33,24.29,3241.2946,2.429666667
34.96,27.24,25.7,27.94,25.36,24.15,3230.7657,2.428
35.1,27.32,25.76,28.01,25.4,24.28,3213.599,2.429666667
35.23,27.39,25.79,28.08,25.43,24.22,3231.9102,2.427333333
35.37333333,27.45,25.84,28.15,25.46,24.25,3222.0679,2.425666667
35.51,27.54,25.88,28.23,25.5,24.27,3229.6213,2.428666667
35.64,27.6,25.92,28.28,25.53,24.37,3227.5613,2.428666667
35.77333333,27.67,25.97,28.34,25.56,24.19,3229.1635,2.433
35.89666667,27.73,26.02,28.41,25.6,24.29,3233.9702,2.428333333
36.03,27.81,26.07,28.48,25.65,24.09,3227.3324,2.426333333
36.15666667,27.88,26.12,28.55,25.68,23.93,3246.7879,2.429666667
36.28333333,27.95,26.16,28.62,25.72,23.9,3226.4168,2.429
36.40333333,28.03,26.22,28.68,25.76,24.0,3235.1146,2.427333333
36.51333333,28.08,26.25,28.74,25.79,24.15,3232.8257,2.430333333
